,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
2954,house,Independent,sector 43,8.25,30556.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,West,Moderately Old,,2700.0,,1,1,1,1,0,2,64
2955,house,dlf city plots phase 2,sector 25,10.75,29861.0,3600.0,Plot area 400(334.45 sq.m.),9,9,3,3.0,South-West,Undefined,,3600.0,,0,1,1,1,0,0,73
2957,house,unitech espace,sector 50,7.35,41762.0,1760.0,Plot area 240(200.67 sq.m.),4,4,3,3.0,South,Moderately Old,,240.0,,0,1,0,1,0,2,52
2960,house,emaar mgf marbella,sector 66,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5,6,3,3.0,North-East,Relatively New,,3150.0,,0,1,1,0,0,2,153
2961,house,Independent,sector 48,8.4,25926.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,2.0,NotAvailable,Undefined,,3240.0,,0,1,0,1,0,2,15
2962,house,vipul tatvam villa,sector 48,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,2,,East,Moderately Old,,3240.0,,0,1,1,1,0,0,88
2963,house,Independent,sector 25,7.6,38760.0,1961.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,Relatively New,,1935.0,,1,0,1,1,0,2,84
2964,house,ansal sushant lok plots,sector 43,7.0,25926.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,North-East,Relatively New,,2700.0,,1,1,0,1,0,2,41
2968,house,Independent,sector 50,10.56,32593.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,3.0,NotAvailable,Moderately Old,,3240.0,,0,1,0,0,0,0,20
2969,house,ansal api esencia,sector 67,5.46,24170.0,2259.0,Plot area 251(209.87 sq.m.),4,5,3,2.0,East,Relatively New,,2259.0,,1,0,1,1,0,2,103
2970,house,Independent,sector 25,10.0,37037.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,North,Undefined,,2700.0,,0,1,1,0,0,2,64
2971,house,Independent,sector 25,9.0,28490.0,3159.0,Plot area 351(293.48 sq.m.),10,10,3,3.0,East,Undefined,,3159.0,,0,0,0,1,0,2,64
2974,house,floor wise designer kothi,sector 25,13.0,48148.0,2700.0,Plot area 300(250.84 sq.m.),12,16,3,4.0,North-East,Undefined,,2700.0,,1,1,1,1,0,2,144
2975,house,suncity essel towers,sector 28,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3,3.0,East,Undefined,,2700.0,,1,0,0,0,0,2,89
2976,house,Independent,sector 25,9.0,33333.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,North,Undefined,,2700.0,,1,1,1,1,0,0,56
2977,house,Independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,North,Undefined,,1800.0,,1,1,1,1,0,0,53
2978,house,Independent,sector 55,7.49,27741.0,2700.0,Plot area 300(250.84 sq.m.),12,12,3,4.0,South-East,Relatively New,,2700.0,,1,1,0,1,0,2,49
2979,house,Independent,sector 110,13.5,50000.0,2700.0,Plot area 300(250.84 sq.m.),16,16,3,4.0,North-West,Relatively New,,2700.0,,1,1,0,1,1,0,41
