,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
3307,house,raj villas,sector 52,8.0,25543.0,3132.0,Carpet area: 348 (290.97 sq.m.),6,5,3,4.0,East,Undefined,,,348.0,0,0,0,0,0,0,0
3311,house,sobha city,sector 108,10.5,14323.0,7331.0,Built Up area: 7331 (681.07 sq.m.),5,4,3,1.0,East,Undefined,,7331.0,,0,0,0,0,0,0,59
3313,house,unitech uniworld resorts,sector 33,10.0,181818.0,550.0,Plot area 550(51.1 sq.m.),5,6,3,4.0,North-East,Undefined,,550.0,,1,1,0,0,0,0,26
3316,house,Independent,sector 39,7.0,10000.0,7000.0,Plot area 350(32.52 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),10,11,3,4.0,South-East,Relatively New,,7000.0,,0,0,0,1,0,2,38
3331,house,Independent,sector 13,9.0,100000.0,900.0,Plot area 900(83.61 sq.m.),10,5,3,4.0,NotAvailable,Undefined,,900.0,,0,0,0,0,0,0,0
3344,house,Independent,sector 25,13.0,45710.0,2844.0,Plot area 316(264.22 sq.m.),6,8,3,,NotAvailable,Relatively New,,2844.0,,1,1,1,1,0,1,0
3348,house,Independent,sector 50,7.0,32407.0,2160.0,Built Up area: 240 (200.67 sq.m.),3,2,0,1.0,NotAvailable,Undefined,,240.0,,0,0,0,0,0,0,0
3357,house,Independent,sohna road road,6.25,6944.0,9001.0,Plot area 1000(836.13 sq.m.),3,3,0,1.0,NotAvailable,Moderately Old,,9000.0,,0,0,0,0,0,0,0
3370,house,Independent,sector 24,11.0,28898.0,3806.0,Plot area 3806.45(353.63 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.),8,11,3,3.0,East,Undefined,,5000.0,,1,1,0,1,1,2,39
3371,house,adani brahma samsara,sector 60,18.02,28200.0,6390.0,Built Up area: 6390 (593.65 sq.m.),9,12,3,3.0,North-East,Relatively New,,6390.0,,0,1,0,0,0,2,146
3386,house,Independent,sector 105,9.9,49500.0,2000.0,Built Up area: 2000 (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,2,2,3.0,North,Undefined,,2000.0,1800.0,0,0,0,0,0,0,0
3395,house,sector 15 part 2 rwa,sector 15,10.0,22222.0,4500.0,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Undefined,,4518.0,,0,0,0,0,0,0,49
3398,house,Independent,sector 7,6.5,15046.0,4320.0,Plot area 480(401.34 sq.m.),3,2,3,,NotAvailable,Undefined,,4320.0,,0,0,0,0,0,0,9
3403,house,Independent,sector 50,12.5,40611.0,3078.0,Plot area 342(285.96 sq.m.),6,5,3,4.0,East,Moderately Old,,3078.0,,1,1,0,1,0,2,23
3409,house,cloudnine cottages,sohna road road,5.5,55000.0,1000.0,Plot area 1000(92.9 sq.m.),3,3,0,1.0,NotAvailable,Moderately Old,,1000.0,,0,0,0,0,0,0,0
3410,house,ss aaron ville,sector 49,6.75,19737.0,3420.0,Plot area 380(317.73 sq.m.),5,4,2,2.0,North,Undefined,,3420.0,,1,1,1,0,0,0,78
3411,house,Independent,sohna road road,5.5,5093.0,10799.0,Plot area 1200(1003.35 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),3,3,3,2.0,West,Moderately Old,,3500.0,,1,1,0,1,1,0,49
3416,house,Independent,sector 26,8.1,35294.0,2295.0,Plot area 255(213.21 sq.m.),5,5,2,4.0,East,Undefined,,2295.0,,0,0,0,0,0,0,42
3417,house,international city by sobha phase 2,sector 109,7.0,12963.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3,2.0,West,Relatively New,,5400.0,,0,0,0,0,0,2,102
3420,house,Independent,sector 17b,7.2,15926.0,4521.0,Plot area 420,4,4,2,1.0,NotAvailable,Undefined,,4494.0,,0,1,1,0,0,0,0
3422,house,nirvana country,sector 50,10.0,14285.0,7000.0,Built Up area: 7000 (650.32 sq.m.),5,7,2,4.0,East,Moderately Old,,7000.0,,0,1,0,0,0,1,0
3423,house,dlf city plots phase 2,sector 25,15.5,34307.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,3.0,East,Moderately Old,,4518.0,,1,1,1,1,0,0,144
3424,house,Independent,sector 26,14.75,51864.0,2844.0,Plot area 316(264.22 sq.m.),16,20,3,4.0,East,Undefined,,2844.0,,1,1,1,1,0,2,153
3425,house,dlf city plots,sector 26,20.0,44265.0,4518.0,Plot area 502(419.74 sq.m.),16,20,3,4.0,North-East,New Property,,4518.0,,1,1,1,1,0,2,153
3426,house,dlf city plots phase 4,sector 28,9.54,29444.0,3240.0,Plot area 360(301.01 sq.m.),6,5,3,3.0,North,New Property,,3240.0,,1,1,1,1,0,0,153
3427,house,dlf city plots phase 2,sector 25,10.55,39074.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,East,Moderately Old,,2700.0,,1,1,1,1,0,0,131
3428,house,dlf city plots,sector 26,17.3,38734.0,4466.0,Plot area 502(419.74 sq.m.),6,7,3,3.0,North,Undefined,,4518.0,,1,1,1,1,0,2,124
3430,house,Independent,sector 26,18.9,41833.0,4518.0,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,2,120
3431,house,Independent,sector 41,9.0,27778.0,3240.0,Plot area 360(301.01 sq.m.),8,5,3,3.0,NotAvailable,Undefined,,3240.0,,0,1,1,1,0,2,26
3432,house,emaar the palm springs,sector 54,24.0,600000.0,400.0,Plot area 400(37.16 sq.m.),5,5,2,1.0,North-East,Undefined,,400.0,,1,1,0,1,0,2,122
3435,house,experion windchants,sector 112,7.46,10260.0,7271.0,Built Up area: 6350 (589.93 sq.m.),4,4,3,2.0,East,Relatively New,,6350.0,,0,1,0,1,0,2,62
3436,house,uppal southend,sector 49,6.75,31915.0,2115.0,Plot area 235(196.49 sq.m.),12,12,3,3.0,West,Moderately Old,,2115.0,,0,0,0,0,1,0,49
3439,house,Independent,sector 46,6.81,36911.0,1845.0,Plot area 205(171.41 sq.m.),12,14,3,,East,Undefined,,1845.0,,0,1,0,0,1,2,40
3440,house,dlf city plots phase 2,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3,3.0,East,Undefined,,1800.0,,1,1,1,1,0,2,134
3441,house,kothi,sector 17b,6.95,15444.0,4500.0,Plot area 500(418.06 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),4,4,3,2.0,NotAvailable,Undefined,,3500.0,,1,1,1,1,0,0,33
3442,house,international city by sobha phase 2,sector 109,7.0,11240.0,6228.0,Plot area 692(578.6 sq.m.),5,5,3,2.0,South,Relatively New,,6228.0,,0,1,0,0,0,0,129
3445,house,malibu towne,sector 47,8.81,27191.0,3240.0,Plot area 360(301.01 sq.m.),8,6,3,3.0,East,Moderately Old,,3240.0,,1,1,0,0,1,2,27
3447,house,Independent,sector 26,8.9,32963.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3,2.0,South-East,Undefined,,2700.0,,1,1,1,1,0,0,82
3448,house,dlf city plots phase 2,sector 25,6.5,33592.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3,3.0,West,Undefined,,1935.0,,1,1,1,1,0,2,142
3450,house,vipul tatvam villa,sector 48,22.0,26667.0,8250.0,Plot area 1000(836.13 sq.m.),5,6,3,3.0,NotAvailable,Moderately Old,,1000.0,,0,1,0,0,0,0,54
3451,house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),5,5,3,2.0,South,Relatively New,,3600.0,,1,1,1,1,0,0,133
3452,house,vatika india next,sector 82,7.0,194444.0,360.0,Plot area 360(33.45 sq.m.)Built Up area: 3900 sq.ft. (362.32 sq.m.)Carpet area: 3743 sq.ft. (347.74 sq.m.),4,4,3,3.0,North-East,Relatively New,,3900.0,3743.0,0,1,0,0,0,1,105
3455,house,emaar mgf marbella,sector 66,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5,6,3,4.0,North-East,Undefined,,3150.0,,0,1,0,1,0,0,38
3456,house,tata primanti,sector 72,8.5,13492.0,6300.0,Plot area 6300(585.29 sq.m.),5,6,3,10.0,East,Relatively New,,6300.0,,1,1,1,1,0,2,145
3457,house,Independent,sector 41,11.0,33951.0,3240.0,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,Undefined,,3240.0,,1,1,0,1,0,0,35
3461,house,dlf city plots,sector 26,19.0,42054.0,4518.0,Plot area 502(419.74 sq.m.),6,6,3,2.0,East,Relatively New,,4518.0,,1,1,0,0,0,2,121
3462,house,Independent,sector 25,7.3,1560.0,46795.0,Plot area 215(179.77 sq.m.)Built Up area: 5800 sq.yards (4849.54 sq.m.)Carpet area: 5200 sq.yards (4347.86 sq.m.),9,9,2,3.0,North-West,Relatively New,,5800.0,5200.0,0,1,1,0,0,2,109
3463,house,Independent,sector 55,5.6,20741.0,2700.0,Plot area 300(250.84 sq.m.),6,4,3,3.0,East,Undefined,,2700.0,,0,1,0,0,0,2,41
3466,house,vipul tatvam villa,sector 48,18.5,26428.0,7000.0,Plot area 7000(650.32 sq.m.),4,4,1,1.0,NotAvailable,Moderately Old,,7000.0,,0,0,0,0,0,0,30
3467,house,Independent,sector 26,26.0,82540.0,3150.0,Plot area 402(336.12 sq.m.)Built Up area: 400 sq.yards (334.45 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),16,16,3,4.0,North-West,Undefined,,400.0,350.0,1,1,1,1,0,2,72
3471,house,vatika india next,sector 82,6.8,20988.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,3.0,North-East,Relatively New,,3240.0,,0,1,0,0,0,1,110
3472,house,dlf city plots phase 2,sector 25,10.0,400000.0,250.0,Plot area 250(23.23 sq.m.),12,12,3,4.0,North,Relatively New,,250.0,,1,1,0,0,0,2,114
3474,house,emaar emerald hills,sector 65,12.5,34722.0,3600.0,Plot area 400(334.45 sq.m.),4,4,3,2.0,East,Relatively New,,3600.0,,1,1,0,0,0,0,56
3476,house,Independent,sector 43,27.5,24366.0,11286.0,Plot area 1254(1048.5 sq.m.),6,7,3,3.0,North-East,Relatively New,,11286.0,,1,1,0,1,1,2,42
3477,house,Independent,sector 27,8.0,26298.0,3042.0,Plot area 338(282.61 sq.m.),9,9,3,4.0,North-East,Relatively New,,3042.0,,1,1,1,1,0,1,110
3479,house,Independent,sector 57,8.31,24171.0,3438.0,Plot area 382(319.4 sq.m.),5,6,3,4.0,North-East,Undefined,,3438.0,,1,1,1,1,0,0,34
3480,house,Independent,sector 57,6.21,23000.0,2700.0,Plot area 300(250.84 sq.m.),6,6,3,4.0,North-East,Undefined,,2700.0,,1,1,1,1,0,0,52
3481,house,Independent,sector 45,7.35,29697.0,2475.0,Plot area 275(229.94 sq.m.),6,4,3,3.0,North-East,Undefined,,2475.0,,1,1,1,1,0,2,61
3483,house,Independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,3.0,NotAvailable,Moderately Old,,1800.0,,1,0,0,1,0,0,19
3485,house,vipul tatvam villa,sector 48,7.35,22812.0,3222.0,Plot area 358(299.33 sq.m.),4,5,2,2.0,South,Moderately Old,,3222.0,,1,1,1,1,0,2,144
3486,house,dlf city plots phase 2,sector 25,10.5,261194.0,402.0,Plot area 402(37.35 sq.m.),4,4,2,2.0,East,Undefined,,402.0,,0,1,0,1,0,2,91
3488,house,Independent,sector 46,6.5,27461.0,2367.0,Plot area 263(219.9 sq.m.),12,12,3,4.0,North-West,Relatively New,,2367.0,,1,0,0,1,0,2,32
3489,house,dlf city plots phase 2,sector 25,7.5,31686.0,2367.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,West,Relatively New,,2300.5,,1,1,0,1,0,2,160
3490,house,ireo victory valley,sector 67,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),6,7,3,51.0,North-East,Moderately Old,,3600.0,,1,1,0,1,0,2,49
3491,house,Independent,sector 46,5.5,23061.0,2385.0,Plot area 265(221.57 sq.m.),8,8,3,3.0,NotAvailable,Moderately Old,,2385.0,,1,0,0,0,1,2,32
3494,house,dlf city plots,sector 26,18.0,39841.0,4518.0,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Undefined,,4518.0,,0,1,0,1,1,2,49
3495,house,dlf city plots,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Undefined,,4518.0,,0,1,1,1,0,2,87
3497,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3,2.0,East,Undefined,,4518.0,,1,1,1,1,0,2,110
3501,house,international city by sobha phase 2,sector 109,6.25,11574.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3,2.0,East,Relatively New,,5400.0,,0,1,0,0,0,0,138
3502,house,Independent,sector 50,10.55,32562.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,NotAvailable,Moderately Old,,3240.0,,1,1,0,0,0,0,42
3505,house,Independent,sector 31,9.25,39530.0,2340.0,Plot area 265(221.57 sq.m.)Built Up area: 262 sq.yards (219.07 sq.m.)Carpet area: 260 sq.yards (217.39 sq.m.),12,12,3,4.0,North-East,Undefined,,262.0,260.0,0,1,0,1,1,1,49
3506,house,bptp visionnaire,sector 70a,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),5,4,3,3.0,North-East,Undefined,,2700.0,,1,0,0,0,0,0,40
3508,house,dlf city plots,sector 26,26.0,57206.0,4545.0,Plot area 505(422.24 sq.m.),6,7,3,2.0,North-East,Undefined,,4545.0,,1,1,0,1,1,2,138
3509,house,unitech south city,sector 50,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),9,9,3,3.0,East,Relatively New,,2160.0,,1,1,0,1,1,1,128
3511,house,ss hibiscus,sector 50,12.25,20940.0,5850.0,Plot area 5850(543.48 sq.m.),5,7,3,1.0,South-East,Relatively New,,5850.0,,1,1,0,1,1,2,160
3512,house,unitech espace,sector 50,10.45,32253.0,3240.0,Plot area 360(301.01 sq.m.),5,7,3,3.0,NotAvailable,Moderately Old,,3240.0,,1,1,0,1,1,2,153
3513,house,emaar mgf marbella,sector 66,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,3.0,East,Relatively New,,3240.0,,1,1,1,1,0,2,160
3514,house,eldeco mansionz,sector 48,6.4,23704.0,2700.0,Plot area 365(305.19 sq.m.)Built Up area: 366 sq.yards (306.02 sq.m.),4,4,3,3.0,West,Moderately Old,,366.0,,0,1,1,0,0,2,151
3519,house,luxury dlf city floors,sector 26,8.25,45833.0,1800.0,Plot area 200(167.23 sq.m.),12,12,3,4.0,North,Undefined,,1800.0,,0,1,0,0,0,2,105
3520,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately Old,,4518.0,,1,1,0,0,1,2,104
3521,house,nul,sector 25,15.0,23437.0,6400.0,Built Up area: 6400 (594.58 sq.m.),5,5,3,2.0,West,Moderately Old,,6400.0,,1,1,0,1,0,2,112
3522,house,Independent,sector 43,5.5,2716.0,20250.0,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),8,7,3,3.0,East,Moderately Old,,2850.0,2250.0,1,1,0,1,1,2,123
3523,house,Independent,sector 26,18.0,39841.0,4518.0,Plot area 502(419.74 sq.m.),5,4,3,4.0,North,Moderately Old,,4518.0,,1,1,1,1,0,2,113
3524,house,Independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),4,3,2,2.0,East,Relatively New,,1800.0,,0,0,1,0,0,0,21
3525,house,ss hibiscus,sector 50,12.5,40850.0,3060.0,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3,2.0,West,Relatively New,,410.0,340.0,1,1,0,0,0,1,160
3528,house,international city by sobha phase 2,sector 109,9.4,26111.0,3600.0,Plot area 400(334.45 sq.m.),5,6,3,2.0,North-East,Relatively New,,3600.0,,1,1,1,1,0,2,147
3529,house,unitech espace,sector 50,10.3,31790.0,3240.0,Plot area 360(301.01 sq.m.),5,6,3,3.0,East,Moderately Old,,3240.0,,1,1,1,1,0,2,160
3530,house,international city by sobha phase 1,sector 109,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4,4,3,2.0,North-East,Relatively New,,2430.0,,1,1,1,1,0,0,160
3531,house,unitech deerwood chase,sector 50,8.45,235376.0,359.0,Plot area 359(33.35 sq.m.),3,3,2,2.0,North-East,Undefined,,359.0,,1,1,0,0,0,2,102
3532,house,Independent,sector 41,7.25,29293.0,2475.0,Plot area 275(229.94 sq.m.),9,8,3,4.0,South-West,Undefined,,2475.0,,0,1,0,0,0,2,94
3534,house,international city by sobha phase 1,sector 109,6.15,27333.0,2250.0,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3,3.0,West,Relatively New,,270.0,250.0,0,1,1,1,0,2,130
3536,house,dlf city plots,sector 26,12.5,38580.0,3240.0,Plot area 360(301.01 sq.m.),4,5,2,2.0,North-East,Moderately Old,,3240.0,,1,1,0,0,0,2,121
3537,house,international city by sobha phase 2,sector 109,10.0,27778.0,3600.0,Plot area 400(334.45 sq.m.),4,5,3,2.0,East,Undefined,,3600.0,,1,1,0,1,1,2,49
3538,house,Independent,sector 26,16.0,35556.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3,2.0,North-East,Undefined,,4500.0,,0,0,0,0,0,0,0
3539,house,Independent,sector 26,12.5,38580.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,North,Undefined,,3240.0,,1,1,1,1,0,2,79
3540,house,Independent,sector 45,16.0,35000.0,4571.0,Plot area 500(418.06 sq.m.),6,7,3,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,2,105
3541,house,Independent,sector 45,10.0,30864.0,3240.0,Plot area 360(301.01 sq.m.),6,6,3,4.0,North-East,Moderately Old,,3240.0,,1,1,1,1,0,2,70
3543,house,Independent,sector 26,6.75,27778.0,2430.0,Plot area 270(225.75 sq.m.),3,3,3,2.0,North-East,Moderately Old,,2430.0,,0,0,0,0,0,0,27
3545,house,Independent,mehrauli   road,8.0,17707.0,4518.0,Plot area 502(419.74 sq.m.),12,4,3,3.0,North,Undefined,,4518.0,,0,1,1,0,0,0,32
3547,house,Independent,sector 26,18.4,1859.0,98978.0,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),6,8,3,4.0,South,Relatively New,,,11000.0,0,1,1,1,0,2,60
3550,house,Independent,sector 28,12.0,42194.0,2844.0,Plot area 316(264.22 sq.m.),4,5,3,4.0,East,Relatively New,,2844.0,,0,1,1,1,0,2,60
3553,house,vipul tatvam villa,sector 48,7.25,201388.0,360.0,Plot area 360(33.45 sq.m.),4,4,3,2.0,NotAvailable,Relatively New,,360.0,,1,1,1,1,0,2,103
3555,house,Independent,sector 26,20.0,44444.0,4500.0,Plot area 500(418.06 sq.m.),5,7,3,3.0,West,Relatively New,,4500.0,,0,1,0,1,0,1,97
3560,house,Independent,sector 2,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),5,6,3,3.0,East,Undefined,,2430.0,,1,0,0,1,1,2,43
3561,house,emaar mgf marbella,sector 66,18.0,40000.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,North-East,Relatively New,,4500.0,,1,1,1,1,0,1,153
3562,house,unitech espace,sector 50,11.29,34846.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,NotAvailable,Moderately Old,,3240.0,,1,0,0,1,0,0,21
3563,house,Independent,sector 43,8.49,31444.0,2700.0,Plot area 300(250.84 sq.m.),3,3,2,4.0,North,Relatively New,,2700.0,,0,1,0,1,0,2,21
3564,house,vipul tatvam villa,sector 48,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,1,,NotAvailable,Relatively New,,3240.0,,0,0,0,0,0,0,21
3565,house,eldeco mansionz,sector 48,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3,2.0,East,Moderately Old,,2700.0,,0,1,0,0,0,0,69
3566,house,experion windchants,sector 112,9.5,23457.0,4050.0,Plot area 450(376.26 sq.m.)Built Up area: 7450 sq.yards (6229.15 sq.m.),5,5,3,2.0,NotAvailable,Relatively New,,7450.0,,0,1,0,0,0,0,45
3567,house,Independent,sector 2,19.5,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3,2.0,North,Undefined,,7200.0,,1,1,0,1,0,0,122
3568,house,Independent,sector 26,10.5,43210.0,2430.0,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),12,12,3,4.0,North-East,Relatively New,,300.0,270.0,0,1,0,1,0,2,72
3570,house,Independent,sector 57,6.95,38611.0,1800.0,Plot area 192(160.54 sq.m.),12,12,3,4.0,East,Undefined,,1728.0,,0,1,1,0,0,2,73
3571,house,ansal sushant lok,sector 43,10.5,27911.0,3762.0,Plot area 418(349.5 sq.m.),4,4,2,,North-East,Undefined,,3762.0,,0,1,0,0,0,0,59
3572,house,Independent,sector 25,10.5,29022.0,3618.0,Plot area 402(336.12 sq.m.),5,5,3,3.0,East,Moderately Old,,3618.0,,1,1,0,1,0,0,42
3573,house,Independent,sector 26,5.8,12837.0,4518.0,Plot area 502(419.74 sq.m.),4,4,3,4.0,NotAvailable,Undefined,,4518.0,,0,0,0,0,0,0,38
3575,house,Independent,sector 50,11.58,35741.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,NotAvailable,Moderately Old,,3240.0,,0,1,0,0,0,0,20
3577,house,international city by sobha phase 1,sector 109,6.0,9634.0,6228.0,Plot area 692(578.6 sq.m.),5,5,3,2.0,South-West,Relatively New,,6228.0,,1,1,1,1,0,0,160
3578,house,unitech aspen greens,sector 50,6.8,31481.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,Undefined,,220.0,200.0,1,1,0,0,0,2,111
3580,house,Independent,sector 43,7.5,38760.0,1935.0,Plot area 215(179.77 sq.m.),12,12,3,4.0,East,Undefined,,1935.0,,1,1,1,1,0,2,72
3581,house,international city by sobha phase 2,sector 109,8.48,23556.0,3600.0,Plot area 400(334.45 sq.m.),4,6,3,3.0,North-East,Undefined,,3600.0,,1,1,1,1,0,0,153
3582,house,international city by sobha phase 2,sector 109,6.25,10035.0,6228.0,Plot area 692(578.6 sq.m.),5,7,3,3.0,North-East,Relatively New,,6228.0,,1,1,1,1,0,0,147
3583,house,sushant lok 1 builder floors,sector 43,10.85,28841.0,3762.0,Plot area 418(349.5 sq.m.),8,8,3,3.0,West,Moderately Old,,3762.0,,1,1,1,1,0,1,160
3587,house,ansals florence villa,sector 57,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,5,2,2.0,NotAvailable,Undefined,,2700.0,,0,1,0,1,0,2,20
3588,house,emaar the palm springs,sector 54,14.0,62222.0,2250.0,Plot area 250(209.03 sq.m.),4,5,3,2.0,North,Undefined,,2250.0,,1,1,0,0,0,2,160
3591,house,Independent,sector 57,7.25,26852.0,2700.0,Plot area 300(250.84 sq.m.),9,9,3,2.0,North-East,Undefined,,2700.0,,0,1,0,1,1,2,49
3592,house,Independent,sector 43,15.5,28233.0,5490.0,Plot area 610(510.04 sq.m.),5,6,3,3.0,East,Moderately Old,,5490.0,,1,1,1,1,0,0,76
3594,house,Independent,sector 28,11.25,34722.0,3240.0,Plot area 360(301.01 sq.m.),9,9,3,2.0,North,Moderately Old,,3240.0,,0,1,1,1,0,2,126
3596,house,Independent,sector 43,8.5,31481.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,West,Moderately Old,,2700.0,,0,1,0,0,0,2,113
3597,house,Independent,sector 45,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderately Old,,3240.0,,0,1,0,1,0,2,49
3598,house,unitech nirvana birch court,sector 50,11.95,36883.0,3240.0,Plot area 360(301.01 sq.m.),3,3,2,1.0,West,Moderately Old,,3240.0,,1,1,0,0,0,0,101
3599,house,unitech aspen greens,sector 50,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),3,4,2,1.0,East,Moderately Old,,3240.0,,1,1,0,0,0,2,101
3600,house,bptp astaire gardens,sector 70a,6.5,27871.0,2332.0,Plot area 299(250 sq.m.),4,4,3,2.0,North-East,Undefined,,299.0,,1,1,0,1,0,2,160
3601,house,dlf alameda,sector 73,17.0,35109.0,4842.0,Plot area 4842(449.84 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),5,8,3,3.0,North-West,Relatively New,,9000.0,,1,1,1,1,0,1,87
3602,house,ansal sushant lok plots,sector 43,11.5,17692.0,6500.0,Plot area 3762(349.5 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6500 sq.ft. (603.87 sq.m.),7,8,3,3.0,NotAvailable,Undefined,,9000.0,6500.0,0,1,1,1,0,2,31
3603,house,independent house sector 45,sector 40,9.0,38022.0,2367.0,Plot area 2367(219.9 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),12,12,3,4.0,North-West,Undefined,,9000.0,6000.0,0,1,0,0,0,2,71
3604,house,Independent,sector 26,15.0,33333.0,4500.0,Built Up area: 4500 (418.06 sq.m.),4,4,3,3.0,NotAvailable,Moderately Old,,4500.0,,0,1,1,0,0,2,36
3605,house,vipul tatvam villa,sector 48,8.2,25309.0,3240.0,Plot area 360(301.01 sq.m.),3,3,2,2.0,North,Moderately Old,,3240.0,,1,1,0,1,0,1,160
3606,house,sector 14 rwa,sector 14,5.51,16990.0,3243.0,Plot area 361(301.84 sq.m.),3,3,2,4.0,South-West,Moderately Old,,3249.0,,0,0,0,0,0,0,14
3608,house,ireo victory valley,sector 67,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),6,7,3,3.0,North-East,Moderately Old,,3600.0,,1,1,1,1,0,2,151
3610,house,Independent,sector 26,8.49,47167.0,1800.0,Plot area 200(167.23 sq.m.),12,12,3,4.0,North,Relatively New,,1800.0,,0,1,0,1,0,2,42
3614,house,Independent,sector 55,9.19,34037.0,2700.0,Plot area 300(250.84 sq.m.),16,18,2,4.0,West,Undefined,,2700.0,,0,1,0,1,0,2,49
3616,house,unitech palms south city 1,sector 41,9.35,28858.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),10,10,3,4.0,North-East,Moderately Old,,7500.0,6000.0,1,1,0,0,0,2,70
3617,house,unitech palms south city 1,sector 41,9.25,28549.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3,4.0,North,Moderately Old,,5000.0,4500.0,1,1,1,1,0,2,65
3621,house,Independent,sector 28,8.4,34568.0,2430.0,Plot area 270(225.75 sq.m.),4,4,3,2.0,North-East,Relatively New,,2430.0,,0,1,1,1,0,2,139
3622,house,emaar mgf marbella,sector 66,11.0,33951.0,3240.0,Plot area 360(301.01 sq.m.),5,6,3,2.0,North-East,Undefined,,3240.0,,1,1,1,1,0,2,153
