property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,adani aangan arcade,sector 88a,0.45,7194.0,625.5,Carpet area: 625.47 (58.11 sq.m.),2,2,1,8.0,,Undefined,,,625.490229,0,0,0,0,0,0,14,312.75
flat,sare green parc,sector 92,0.85,6538.0,1300.1,Built Up area: 1300 (120.77 sq.m.),3,2,2,20.0,,Undefined,,1300.0,,0,0,0,0,0,0,0,433.3666666666666
flat,shree vardhman flora,sector 90,0.75,5769.0,1300.1,Carpet area: 1300 (120.77 sq.m.),2,2,3,8.0,North-East,Undefined,,,1300.0,0,0,0,0,0,0,60,650.05
flat,supertech hues,sector 68,0.82,6950.0,1179.9,Super Built up area 1180(109.63 sq.m.),2,2,3+,21.0,,Under Construction,1180.0,,,0,0,0,0,1,0,72,589.95
flat,chintels paradiso,sector 109,1.8,8866.0,2030.2,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,0.0,East,Moderately Old,2030.0,,1785.0,0,1,0,0,0,0,83,676.7333333333333
flat,breez global hill view,sohna road,0.3,5403.0,555.2,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6.0,North-East,Undefined,655.0,,555.0,0,0,0,0,0,0,109,277.6
flat,ild greens,sector 37c,0.78,5714.0,1365.1,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,North,Moderately Old,1365.0,1068.1,900.0,0,0,0,0,0,2,103,682.55
flat,ansal sushant lok ci,sector 43,2.0,15152.0,1320.0,Carpet area: 1320 (122.63 sq.m.),3,3,2,1.0,North,Undefined,,,1320.0,0,1,0,0,0,1,15,440.0
flat,ashiana mulberry,sohna road,0.74,6200.0,1193.5,Carpet area: 1210 (112.41 sq.m.),2,2,3+,12.0,North-West,Undefined,,,1210.0,0,0,0,0,0,0,67,596.75
flat,godrej meridien,sector 106,3.2,16000.0,2000.0,Carpet area: 2002 (185.99 sq.m.),3,3,3+,6.0,,Undefined,,,2002.0,0,1,0,0,0,0,49,666.6666666666666
flat,mapsko casa bella,sector 82,1.3,6378.0,2038.3,Super Built up area 1960(182.09 sq.m.),4,4,3+,1.0,North,Relatively New,1960.0,,,0,1,0,0,0,0,130,509.575
flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,700.1,Carpet area: 700 (65.03 sq.m.),2,2,2,2.0,East,Relatively New,,,700.0,0,0,0,0,0,0,0,350.05
flat,signature global park,sohna road,0.95,7846.0,1210.8,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3,2,3+,1.0,,Relatively New,,1210.723472,756.6,0,0,0,0,0,0,46,403.59999999999997
flat,dlf new town heights,sector 90,1.99,7297.0,2727.1,Carpet area: 2727 (253.35 sq.m.),4,4,3+,9.0,East,Relatively New,,,2727.0,0,1,0,1,0,2,102,681.775
flat,paras dews,sector 106,1.05,7581.0,1385.0,Carpet area: 1385 (128.67 sq.m.),2,2,2,5.0,West,Undefined,,,1385.0,0,0,0,0,0,0,97,692.5
