property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
flat,signature global park,sohna road,0.83,7410.0,3,2,2,1.0,Relatively New,1008.0,0,0,0,0,0,0,16
flat,maxworth city residences,sector 10a,0.8,6400.0,2,3,2,9.0,Relatively New,1125.0,0,0,0,0,0,0,46
flat,deepak minda,manesar,1.25,4715.0,4,4,3+,6.0,Moderately Old,2385.9,0,0,0,0,0,2,44
flat,pivotal devaan,sector 84,0.3,6666.0,1,1,1,14.0,Relatively New,405.0,0,0,0,0,0,2,22
flat,unitech the residences,sector 33,1.55,9872.0,3,4,1,1.0,Relatively New,1727.0000000000002,0,1,0,0,0,0,37
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8.0,Relatively New,1317.8000000000002,0,0,0,0,1,0,0
flat,silverglades the melia,sohna road,1.01,7000.0,2,2,3,12.0,Relatively New,1225.0,1,0,0,0,0,0,80
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.0,4,5,3+,4.0,Moderately Old,2086.7000000000003,0,1,0,0,0,0,37
flat,umang winter hills,sector 77,0.99,7857.0,2,2,2,1.0,Relatively New,1143.0,0,0,0,0,0,0,97
flat,ramprastha skyz,sector 37d,1.1,6376.0,3,3,3+,7.0,Relatively New,1897.5000000000002,0,0,0,0,0,0,109
flat,4s aradhya homes,sector 67a,1.9,8863.0,4,4,3,3.0,Relatively New,2420.0,0,0,0,0,0,2,62
flat,ild greens,sector 37c,1.0,4320.0,3,3,3+,5.0,Under Construction,2062.5,0,0,0,0,0,0,51
flat,bptp freedom park life,sector 57,2.5,11111.0,3,3,3,9.0,Moderately Old,2475.0,0,0,0,0,0,0,55
flat,godrej habitat,sector 3,1.1,10410.0,2,2,2,14.0,Under Construction,1162.238,0,0,0,0,0,0,60
flat,ramsons kshitij,sector 95,0.29,5178.0,2,2,2,14.0,Relatively New,616.0,0,0,0,0,0,0,50
flat,sidhartha ncr one,sector 95,0.55,5556.0,2,2,3,15.0,Relatively New,990.0,0,0,0,0,0,0,0
flat,raheja sampada,sector 92,0.65,4744.0,3,2,3,6.0,Relatively New,1507.0000000000002,0,0,0,0,0,0,49
flat,signature the serenas,sohna road,0.5,9406.0,2,2,2,6.0,Relatively New,478.36924380000005,0,0,0,0,0,0,37
flat,pareena laxmi apartments,sector 99a,0.32,5521.0,2,2,1,2.0,Relatively New,572.8265,0,0,0,0,0,0,43
flat,satya the hermitage,sector 103,0.93,6404.0,2,3,3,3.0,Relatively New,1306.8,0,1,0,0,0,2,90
flat,smart world gems,sector 89,1.2,8432.0,3,3,2,2.0,New Property,1280.7,0,0,0,0,0,0,44
flat,gls arawali homes,sohna road,0.3,4687.0,2,2,2,4.0,Relatively New,576.0,0,0,0,0,0,0,42
flat,signature global park,sohna road,0.56,6812.0,2,2,3,3.0,Relatively New,739.8000000000001,0,0,0,0,0,0,111
flat,bestech park view city,sector 49,2.7,12505.0,3,4,3+,6.0,Moderately Old,2374.9,0,0,0,0,0,0,0
flat,shree vardhman flora,sector 90,1.0,5128.0,3,4,3,8.0,Relatively New,2145.0,0,1,0,0,0,0,95
flat,afnhb jalvayu vihar,sector 30,1.45,11153.0,3,2,2,2.0,Relatively New,1300.0,0,0,0,0,0,1,75
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,0,4.0,Relatively New,1423.0,0,0,0,0,0,0,61
flat,emaar mgf palm terraces,sector 66,4.5,10599.0,5,5,3+,11.0,Relatively New,4037.0000000000005,0,1,0,0,0,0,105
flat,hcbs sports ville,sohna road,0.28,3768.0,2,2,1,11.0,Relatively New,743.0,0,0,0,0,0,0,38
flat,puri the aravallis,sector 61,3.87,17200.0,3,4,3+,21.0,New Property,1799.8425000000002,0,1,0,0,0,0,58
flat,brisk lumbini terrace homes,sector 109,1.38,6338.0,3,3,1,4.0,Moderately Old,1959.3,0,0,0,0,0,0,20
flat,huda ashok vihar phase,sector 4,0.43,6615.0,2,2,1,2.0,Relatively New,585.0,0,0,0,0,0,0,7
flat,my home,new sector 2,0.28,3166.0,2,1,1,2.0,Relatively New,810.0,0,0,0,0,1,0,15
flat,signature global city,sector 37d,1.1,9838.0,2,2,2,4.0,Relatively New,1006.2,0,0,0,0,0,0,59
flat,m3m heights,sector 65,2.0,13957.0,2,2,2,32.0,Relatively New,1433.0,0,0,0,0,0,0,48
flat,signature global park,sohna road,0.9,8035.0,3,2,2,2.0,Relatively New,1232.0,0,0,0,0,0,0,144
flat,signature global park,sohna road,0.9,8036.0,3,2,0,2.0,Relatively New,1120.0,0,0,0,0,0,0,58
flat,godrej nature plus,sector 33,1.75,8768.0,3,3,0,2.0,Relatively New,1996.0,0,0,0,0,0,0,56
flat,supertech hues,sector 68,0.93,8611.0,2,2,2,11.0,Relatively New,972.0,0,0,0,0,0,0,0
flat,dlf new town heights,sector 90,1.8,6600.0,4,4,3+,23.0,Moderately Old,2999.7000000000003,0,0,0,0,0,0,67
flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,3,3,2,6.0,Under Construction,1967.9,0,0,0,0,0,0,24
flat,ambience creacions,sector 22,2.0,14492.0,2,2,2,9.0,Relatively New,1242.0,0,0,0,0,0,0,49
flat,signature global city 63a,sector 63a,2.0,12800.0,3,3,2,1.0,Relatively New,1540.0,0,0,0,0,0,0,36
flat,godrej oasis,sector 88a,1.29,7800.0,3,3,3,5.0,Relatively New,1628.5500000000002,1,0,0,0,1,0,65
flat,m3m skycity,sector 65,2.85,15590.0,3,3,3,43.0,Relatively New,2010.8000000000002,0,0,0,0,0,0,115
flat,supertech araville,sector 79,1.1,5641.0,3,3,3,1.0,Relatively New,1755.0,0,0,0,0,0,2,106
flat,smart world orchard,sector 61,1.65,13750.0,2,2,2,1.0,Under Construction,1080.0,1,0,0,0,0,0,16
flat,hcbs sports ville,sohna road,0.24,7407.0,1,1,2,1.0,Relatively New,291.6,0,0,0,0,0,0,68
flat,emaar palm premier,sector 77,2.1,10500.0,3,4,3+,11.0,Relatively New,1600.0,0,1,0,0,0,2,129
flat,godrej nature plus,sector 33,1.9,9849.0,3,3,3+,14.0,New Property,1736.1000000000001,0,1,0,0,0,0,96
flat,godrej aria,sector 79,1.1,11482.0,2,2,3,9.0,Relatively New,97.9,0,0,0,0,0,0,62
flat,ramsons kshitij,sector 95,0.32,4500.0,2,2,1,8.0,Relatively New,584.494,0,0,0,0,1,1,28
flat,conscient one,sector 109,1.7,17617.0,1,1,2,9.0,Relatively New,965.0,0,0,0,0,0,0,0
flat,pareena laxmi apartments,sector 99a,0.32,6106.0,2,2,2,2.0,Relatively New,479.36,0,0,0,0,0,0,50
flat,pyramid elite,sector 86,0.45,7739.0,2,2,1,4.0,Relatively New,523.2224150999999,0,0,0,0,0,0,66
flat,raheja revanta,sector 78,1.2,10018.0,1,2,2,32.0,Under Construction,886.0400000000001,0,0,0,0,0,0,39
flat,m3m skycity,sector 65,2.1,16030.0,2,2,2,43.0,New Property,1441.0000000000002,0,0,0,0,0,0,127
flat,not applicable,sector 4,0.42,5600.0,2,2,1,3.0,Relatively New,675.0,0,0,0,0,0,2,26
flat,godrej nature plus,sector 33,1.55,9955.0,3,2,3+,8.0,New Property,1401.3,0,0,0,0,0,0,43
flat,ramprastha city,dwarka expressway,1.3,9027.0,3,3,2,3.0,Under Construction,1584.0000000000002,0,0,0,0,0,0,0
flat,smartworld 1dxp,sector 113,2.75,10589.0,4,4,3+,20.0,Relatively New,2337.3,1,1,0,1,0,1,57
flat,ansal housing highland park,sector 103,1.25,6443.0,3,3,3+,2.0,Relatively New,1542.2,0,0,0,1,0,0,105
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,3,2,2,1.0,Relatively New,510.3,0,0,0,0,0,0,0
flat,breez global heights,sohna road,0.4,6420.0,2,2,1,4.0,Relatively New,612.2,0,0,0,0,0,0,49
flat,trisara our homes 3,sohna road,0.34,5405.0,2,2,1,0.0,Relatively New,566.1,0,0,0,0,0,0,0
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,3,3.0,New Property,1565.3000000000002,1,0,0,0,1,0,61
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4.0,Relatively New,1327.15,0,0,0,0,0,2,97
flat,ramprastha city,dwarka expressway,1.3,9285.0,3,3,2,3.0,Under Construction,1540.0000000000002,0,0,0,0,0,0,0
